"","interval","day","average.step"
"480","1555","weekend",122.370283018868
"481","1600","weekend",105.016509433962
"482","1605","weekend",117.391509433962
"483","1610","weekend",125.005896226415
"484","1615","weekend",139.208726415094
"485","1620","weekend",141.55070754717
"486","1625","weekend",144.846698113208
"487","1630","weekend",103.920990566038
"488","1635","weekend",85.6332547169811
"489","1640","weekend",97.5200471698113
"490","1645","weekend",83.3066037735849
"491","1650","weekend",98.4634433962264
"492","1655","weekend",75.3349056603774
"493","1700","weekend",111.452830188679
"494","1705","weekend",88.2252358490566
"495","1710","weekend",97.2146226415094
"496","1715","weekend",98.2158018867924
"497","1720","weekend",108.152122641509
"498","1725","weekend",97.4304245283019
"499","1730","weekend",104.930424528302
"500","1735","weekend",42.3325471698113
"501","1740","weekend",53.1992924528302
"502","1745","weekend",48.563679245283
"503","1750","weekend",35.5341981132075
"504","1755","weekend",37.0566037735849
"505","1800","weekend",80.1474056603774
"506","1805","weekend",90.064858490566
"507","1810","weekend",95.7122641509434
"508","1815","weekend",92.8525943396226
"509","1820","weekend",53.2830188679245
"510","1825","weekend",51.7841981132075
"511","1830","weekend",73.3997641509434
"512","1835","weekend",53.8431603773585
"513","1840","weekend",67.4174528301887
"514","1845","weekend",54.4316037735849
"515","1850","weekend",45.1981132075472
"516","1855","weekend",71.5754716981132
"517","1900","weekend",77.2959905660377
"518","1905","weekend",79.5412735849057
"519","1910","weekend",45.8172169811321
"520","1915","weekend",50.4823113207547
"521","1920","weekend",31.9150943396226
"522","1925","weekend",21.1521226415094
"523","1930","weekend",22.6120283018868
"524","1935","weekend",23.252358490566
"525","1940","weekend",30.6509433962264
"526","1945","weekend",45.1308962264151
"527","1950","weekend",49.5825471698113
"528","1955","weekend",51.0660377358491
"529","2000","weekend",37.1403301886792
"530","2005","weekend",56.877358490566
"531","2010","weekend",54.5424528301887
"532","2015","weekend",87.4174528301887
"533","2020","weekend",77.7264150943396
"534","2025","weekend",64.6462264150943
"535","2030","weekend",76.6002358490566
"536","2035","weekend",61.2299528301887
"537","2040","weekend",49.3183962264151
"538","2045","weekend",44.4150943396226
"539","2050","weekend",50.1002358490566
"540","2055","weekend",28.1438679245283
"541","2100","weekend",28.8054245283019
"542","2105","weekend",12.5283018867925
"543","2110","weekend",9.24410377358491
"544","2115","weekend",20.0931603773585
"545","2120","weekend",7.30660377358491
"546","2125","weekend",7.93985849056604
"547","2130","weekend",19.8950471698113
"548","2135","weekend",15.7252358490566
"549","2140","weekend",13.0224056603774
"550","2145","weekend",8.34905660377358
"551","2150","weekend",7.76650943396226
"552","2155","weekend",0.327830188679245
"553","2200","weekend",1.24410377358491
"554","2205","weekend",1.58490566037736
"555","2210","weekend",0.601415094339623
"556","2215","weekend",1.06367924528302
"557","2220","weekend",0.884433962264151
"558","2225","weekend",2.6497641509434
"559","2230","weekend",1.21933962264151
"560","2235","weekend",0.275943396226415
"561","2240","weekend",1.10259433962264
"562","2245","weekend",0.0141509433962264
"563","2250","weekend",0.762971698113208
"564","2255","weekend",11.8879716981132
"565","2300","weekend",2.6002358490566
"566","2305","weekend",0.356132075471698
"567","2310","weekend",0
"568","2315","weekend",0.10377358490566
"569","2320","weekend",0.120283018867925
"570","2325","weekend",0.76061320754717
"571","2330","weekend",1.38797169811321
"572","2335","weekend",11.5872641509434
"573","2340","weekend",6.2877358490566
"574","2345","weekend",1.70518867924528
"575","2350","weekend",0.0283018867924528
"576","2355","weekend",0.134433962264151
